,time,Title,Artist,Danceability,Loudness (dB),Speechiness,Acousticness,Liveness,mood
0,2020-02-03 12:43:00,You Got It,Roy Orbison,0.6511627906976745,0.6000000000000001,0.01886792452830189,0.6060606060606061,0.29896907216494845,Sad
1,2020-02-04 12:43:00,Heaven,Bryan Adams,0.32558139534883723,0.8,0.01886792452830189,0.05050505050505051,0.10309278350515465,Artsy
2,2020-02-05 12:43:00,Oerend Hard,Normaal,0.6511627906976745,0.68,0.1509433962264151,0.12121212121212122,0.061855670103092786,Romantic
3,2020-02-06 12:43:00,Try a Little Tenderness,Otis Redding,0.5697674418604651,0.4800000000000001,0.07547169811320756,0.19191919191919193,0.24742268041237112,Romantic
4,2020-02-07 12:43:00,Watskeburt?!,De Jeugd Van Tegenwoordig,0.9883720930232558,0.76,0.3962264150943396,0.010101010101010102,0.21649484536082472,Romantic
5,2020-02-08 12:43:00,Bad Moon Rising,Creedence Clearwater Revival,0.4767441860465116,0.8400000000000001,0.01886792452830189,0.06060606060606061,0.04123711340206186,Artsy
6,2020-02-09 12:43:00,Tequila Sunrise - 2013 Remaster,Eagles,0.6162790697674418,0.56,0.01886792452830189,0.5454545454545455,0.09278350515463918,Sad
7,2020-02-10 12:43:00,Fairytale of New York (feat. Kirsty MacColl),The Pogues,0.2558139534883721,0.8400000000000001,0.01886792452830189,0.5050505050505051,0.2268041237113402,Sad
8,2020-02-11 12:43:00,Everybody's Changing,Keane,0.4883720930232558,0.92,0.01886792452830189,0.0,0.08247422680412371,Artsy
9,2020-02-12 12:43:00,Suite: Judy Blue Eyes - Remastered,"Crosby, Stills & Nash",0.40697674418604657,0.56,0.03773584905660377,0.4747474747474748,0.18556701030927833,Sad
10,2020-02-13 12:43:00,Scar Tissue,Red Hot Chili Peppers,0.5813953488372093,0.8800000000000001,0.01886792452830189,0.08080808080808081,0.09278350515463918,Romantic
11,2020-02-14 12:43:00,Atemlos durch die Nacht,Helene Fischer,0.8255813953488372,0.92,0.056603773584905655,0.06060606060606061,0.17525773195876287,Romantic
12,2020-02-15 12:43:00,Clown,Emeli Sandé,0.41860465116279066,0.76,0.03773584905660377,0.9292929292929294,0.09278350515463918,Nostalgic
13,2020-02-16 12:43:00,Up&Up,Coldplay,0.4418604651162791,0.8800000000000001,0.07547169811320756,0.05050505050505051,0.08247422680412371,Artsy
14,2020-02-17 12:43:00,Meer Dan Een Ander,Van Dik Hout,0.5348837209302326,0.56,0.01886792452830189,0.8181818181818182,0.05154639175257732,Nostalgic
15,2020-02-18 12:43:00,Rehab,Amy Winehouse,0.38372093023255816,0.9600000000000001,0.09433962264150944,0.05050505050505051,0.3917525773195876,Artsy
16,2020-02-19 12:43:00,What's Up?,4 Non Blondes,0.5348837209302326,0.68,0.01886792452830189,0.16161616161616163,0.09278350515463918,Romantic
17,2020-02-20 12:43:00,Where the Wild Roses Grow - 2011 - Remaster,Nick Cave & The Bad Seeds,0.27906976744186046,0.6400000000000001,0.01886792452830189,0.38383838383838387,0.08247422680412371,Sad
18,2020-02-21 12:43:00,Bohemian Rhapsody - 2011 Mix,Queen,0.3372093023255814,0.68,0.056603773584905655,0.29292929292929293,0.2268041237113402,Artsy
19,2020-02-22 12:43:00,La vie en rose,Grace Jones,0.6395348837209303,0.44000000000000006,0.07547169811320756,0.23232323232323235,0.04123711340206186,Romantic
20,2020-02-23 12:43:00,Dust Bowl,Joe Bonamassa,0.4883720930232558,0.8,0.056603773584905655,0.36363636363636365,0.18556701030927833,Sad
21,2020-02-24 12:43:00,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,0.5930232558139535,0.52,0.056603773584905655,0.7171717171717172,0.05154639175257732,Nostalgic
22,2020-02-25 12:43:00,All Apologies,Nirvana,0.40697674418604657,0.6000000000000001,0.01886792452830189,0.08080808080808081,0.07216494845360825,Artsy
23,2020-02-26 12:43:00,Let It Be - Remastered 2009,The Beatles,0.39534883720930236,0.76,0.01886792452830189,0.6363636363636365,0.09278350515463918,Sad
24,2020-02-27 12:43:00,I Follow Rivers - Live @ Giel!,Triggerfinger,0.6627906976744186,0.7200000000000001,0.07547169811320756,0.15151515151515152,0.010309278350515465,Romantic
25,2020-02-28 12:43:00,Tinseltown in the Rain,The Blue Nile,0.7906976744186046,0.8,0.01886792452830189,0.06060606060606061,0.061855670103092786,Romantic
26,2020-02-29 12:43:00,Imagine - Remastered,John Lennon,0.5232558139534884,0.6000000000000001,0.01886792452830189,0.9191919191919192,0.07216494845360825,Nostalgic
27,2020-03-01 12:43:00,Who'll Stop The Rain,Creedence Clearwater Revival,0.5813953488372093,0.8,0.01886792452830189,0.04040404040404041,0.05154639175257732,Romantic
28,2020-03-02 12:43:00,Street Spirit (Fade Out),Radiohead,0.4534883720930233,0.6000000000000001,0.01886792452830189,0.31313131313131315,0.16494845360824742,Sad
29,2020-03-03 12:43:00,In the End,Linkin Park,0.5348837209302326,0.8400000000000001,0.07547169811320756,0.010101010101010102,0.1958762886597938,Artsy
30,2020-03-04 12:43:00,Silent Lucidity - Remastered/2003,Queensrÿche,0.41860465116279066,0.8400000000000001,0.01886792452830189,0.05050505050505051,0.10309278350515465,Artsy
31,2020-03-05 12:43:00,Ordinary Love,U2,0.6511627906976745,0.7200000000000001,0.01886792452830189,0.04040404040404041,0.16494845360824742,Romantic
32,2020-03-06 12:43:00,Amsterdam,Coldplay,0.18604651162790697,0.68,0.01886792452830189,0.8484848484848485,0.10309278350515465,Nostalgic
33,2020-03-07 12:43:00,Memories,Maroon 5,0.7674418604651163,0.8,0.056603773584905655,0.8484848484848485,0.061855670103092786,Nostalgic
34,2020-03-08 12:43:00,This Is What It Feels Like,Armin van Buuren,0.5232558139534884,0.8800000000000001,0.01886792452830189,0.04040404040404041,0.04123711340206186,Artsy
35,2020-03-09 12:43:00,Hey Ya!,OutKast,0.7325581395348837,1.0,0.09433962264150944,0.10101010101010102,0.16494845360824742,Romantic
36,2020-03-10 12:43:00,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,0.6744186046511628,0.68,0.01886792452830189,0.08080808080808081,0.3195876288659794,Romantic
37,2020-03-11 12:43:00,Breaking the Habit,Linkin Park,0.5581395348837209,0.8800000000000001,0.01886792452830189,0.11111111111111112,0.07216494845360825,Romantic
38,2020-03-12 12:43:00,I Wish,Stevie Wonder,0.8372093023255814,0.68,0.056603773584905655,0.08080808080808081,0.05154639175257732,Romantic
39,2020-03-13 12:43:00,Heaven Must Be Missing An Angel - Pt. 1,Tavares,0.5930232558139535,0.7200000000000001,0.01886792452830189,0.010101010101010102,0.3814432989690722,Romantic
40,2020-03-14 12:43:00,Tennessee Whiskey,Chris Stapleton,0.3372093023255814,0.6400000000000001,0.01886792452830189,0.21212121212121213,0.061855670103092786,Artsy
41,2020-03-15 12:43:00,The Load-Out - Remastered,Jackson Browne,0.4883720930232558,0.6000000000000001,0.01886792452830189,0.7474747474747475,0.1134020618556701,Nostalgic
42,2020-03-16 12:43:00,Mensch,Herbert Grönemeyer,0.6744186046511628,0.8400000000000001,0.11320754716981132,0.030303030303030304,0.061855670103092786,Romantic
43,2020-03-17 12:43:00,Rosalyn,Vitesse,0.4534883720930233,0.56,0.07547169811320756,0.010101010101010102,0.05154639175257732,Artsy
44,2020-03-18 12:43:00,Golden Brown,The Stranglers,0.5348837209302326,0.4800000000000001,0.01886792452830189,0.14141414141414144,0.12371134020618556,Romantic
45,2020-03-19 12:43:00,Het Land Van Maas En Waal,Boudewijn de Groot,0.7325581395348837,0.68,0.056603773584905655,0.4040404040404041,0.04123711340206186,Sad
46,2020-03-20 12:43:00,Cloudbusting,Kate Bush,0.6744186046511628,0.4,0.01886792452830189,0.7070707070707072,0.061855670103092786,Nostalgic
47,2020-03-21 12:43:00,Invisible Touch - 2007 Remaster,Genesis,0.6511627906976745,0.8400000000000001,0.01886792452830189,0.3434343434343435,0.05154639175257732,Sad
48,2020-03-22 12:43:00,Forbidden Colours,Ryuichi Sakamoto,0.5930232558139535,0.4,0.01886792452830189,0.7676767676767677,0.23711340206185563,Nostalgic
49,2020-03-23 12:43:00,When The Lady Smiles,Golden Earring,0.6976744186046512,0.8,0.01886792452830189,0.4444444444444445,0.3402061855670103,Sad
